country,country_code,year, tourism_receipts ,tourism_arrivals,tourism_exports,tourism_departures,tourism_expenditures, gdp ,inflation,unemployment
Cabo Verde,CPV,1999," $56,000,000 ",67000,45.11708228,,13.44253904," $592,416,703.06 ",4.356433745,
Costa Rica,CRI,1999," $1,256,000,000 ",1267000,20.19548936,353000,9.849072892," $14,254,866,284.65 ",10.04528173,
Caribbean small states,CSS,1999," $5,220,376,079 ",9901109.406,57.88853579,,10.97409865," $16,585,437,189.67 ",1.560062402,
Cuba,CUB,1999," $1,901,000,000 ",1603000,,97000,," $28,364,615,200.00 ",,6.26
Curacao,CUW,1999," $260,000,000 ",433000,,,,,,
Cayman Islands,CYM,1999," $525,000,000 ",1431000,,,,,,
Cyprus,CYP,1999," $2,115,000,000 ",2578000,42.75099554,540000,11.50095472," $10,497,907,227.62 ",1.63,5.532
Czechia,CZE,1999,,,,,," $65,586,562,604.86 ",2.135448444,8.702
Germany,DEU,1999," $25,327,000,000 ",17116000,4.388861628,78100000,10.8393479," $2,213,873,468,586.88 ",0.585433064,8.854
Djibouti,DJI,1999," $7,600,000 ",21000,3.799166292,,4.474850592," $536,080,148.10 ",,
Dominica,DMA,1999," $51,000,000 ",280000,32.52397374,,," $331,759,259.26 ",1.179477874,15.67
Denmark,DNK,1999," $3,698,000,000 ",,5.300414817,4744000,7.961985913," $177,887,720,535.54 ",2.497795444,5.142
Dominican Republic,DOM,1999," $2,483,000,000 ",2932000,48.18832845,363000,6.057507591," $22,136,579,396.92 ",6.470541868,
Algeria,DZA,1999,,749000,,903000,," $48,640,671,734.97 ",2.645511134,
East Asia & Pacific (excluding high income),EAP,1999,,101735448.3,9.393164519,25027607.57,6.500715818," $1,577,918,021,912.85 ",4.290728517,3.599078211
Early-demographic dividend,EAR,1999,,181005514.4,,198868894.3,6.16282478," $3,090,347,267,190.70 ",5.023210786,
East Asia & Pacific,EAS,1999,,147606095,4.88320475,119896552.5,7.426804224," $7,745,113,386,044.47 ",1.983824272,3.775856331
Europe & Central Asia (excluding high income),ECA,1999,,53587391.31,,,," $384,142,293,366.91 ",20.93817381,10.63445043
Europe & Central Asia,ECS,1999," $239,023,295,300 ",706815710.7,7.979844129,431290829.6,8.509078116," $10,686,910,522,225.90 ",2.364818361,10.38750814
Ecuador,ECU,1999," $377,000,000 ",518000,7.053320861,386000,9.14800039," $19,645,272,636.32 ",52.24200519,13.96
"Egypt, Arab Rep.",EGY,1999," $4,361,000,000 ",4797000,29.60584378,,5.634636825," $90,710,704,806.84 ",3.079499126,7.95
Euro area,EMU,1999," $166,059,157,885 ",,8.248556079,213458179.8,8.693464219," $7,148,860,287,676.91 ",1.899114419,10.48885793
Eritrea,ERI,1999," $28,000,000 ",57000,41.03441628,,," $688,918,537.12 ",,
Spain,ESP,1999,,72040000,,,," $634,394,904,386.87 ",2.31034814,15.475
Estonia,EST,1999," $702,000,000 ",3181000,21.78004038,1780000,7.226742091," $5,756,912,265.76 ",3.296110897,11.573
Ethiopia,ETH,1999," $176,000,000 ",115000,18.70398996,,3.075302338," $7,892,973,531.80 ",7.941448641,3.714
European Union,EUU,1999," $191,095,627,789 ",622202305.7,8.197204213,312875355.6,8.618517976," $7,936,013,301,296.29 ",2.157179181,10.19273678
Fragile and conflict affected situations,FCS,1999,,12500227.58,3.444470107,,6.09888011," $400,171,061,469.11 ",4.843531588,
Finland,FIN,1999," $2,236,000,000 ",2454000,4.682748301,,6.884670551," $135,234,241,918.15 ",1.162231557,11.693
Fiji,FJI,1999," $365,000,000 ",544000,34.34188999,89000,7.861243612," $1,936,459,986.04 ",1.96867366,
France,FRA,1999," $44,551,000,000 ",,11.04995149,,8.659628153," $1,486,915,879,701.93 ",0.537141639,11.981
Faroe Islands,FRO,1999,,,,,," $1,127,684,827.36 ",,
"Micronesia, Fed. Sts.",FSM,1999," $13,900,000 ",16100.00038,,,," $220,140,500.00 ",,
Gabon,GAB,1999," $143,000,000 ",262000,5.152631701,187000,10.99807181," $4,662,992,036.21 ",-1.936603976,
United Kingdom,GBR,1999,,25394000,,53881000,," $1,687,830,448,147.55 ",1.752950801,6.042
Georgia,GEO,1999," $131,000,000 ",384000,23.97510981,373000,12.41493471," $2,800,025,882.72 ",19.19267582,13.8
Ghana,GHA,1999," $325,000,000 ",373000,13.14033882,,3.846251815," $7,718,109,982.26 ",4.865397851,10.1
Gibraltar,GIB,1999,,,,,,,,
Guinea,GIN,1999," $5,800,000 ",27000,0.77452133,,3.065246132," $5,046,806,782.55 ",,
"Gambia, The",GMB,1999,,96000,,,," $814,724,032.07 ",3.812372054,
Guinea-Bissau,GNB,1999,,,,,," $579,365,780.14 ",-2.086305132,
Equatorial Guinea,GNQ,1999," $10,000,000 ",,,,," $621,117,885.67 ",0.37226617,
Greece,GRC,1999," $8,839,000,000 ",12606000,35.36409499,,11.24731138," $137,131,371,955.31 ",2.63663306,12.138
Grenada,GRD,1999," $88,000,000 ",379000,40.3635437,,," $482,009,370.37 ",0.577427639,
Greenland,GRL,1999,,,,,," $1,131,555,107.05 ",,9.03
Guatemala,GTM,1999," $374,000,000 ",823000,10.74681762,485000,4.305876724," $18,318,412,251.36 ",5.213610586,
Guam,GUM,1999,,1162000,,,,,,13.95
Guyana,GUY,1999," $109,000,000 ",75000,16.2856716,,11.76808266," $694,754,988.26 ",7.538219399,
High income,HIC,1999," $402,119,156,860 ",886282224.3,7.417279118,610109478.4,7.6030261," $27,417,627,997,191.30 ",2.135108666,7.822881915
"Hong Kong SAR, China",HKG,1999," $7,343,000,000 ",11328000,3.930274265,53144000,7.367304823," $165,768,095,391.56 ",-4.009433962,6.25
Honduras,HND,1999," $214,000,000 ",428000,9.594691535,,5.511288181," $6,414,520,529.62 ",11.66374098,3.85
Heavily indebted poor countries (HIPC),HPC,1999," $3,134,471,547 ",7115930.802,11.47283073,,6.988491884," $167,809,429,290.77 ",3.598898164,
Croatia,HRV,1999," $2,595,000,000 ",29215000,31.96266157,,8.263638577," $23,777,026,779.30 ",4.019138756,13.559
Haiti,HTI,1999," $135,000,000 ",386000,25.41128638,,," $4,153,725,883.84 ",3.004394216,7.2
Hungary,HUN,1999," $3,622,000,000 ",28803000,13.14023792,10622000,5.479381702," $49,073,380,173.72 ",9.997744093,6.929
IBRD only,IBD,1999,,437116871.9,9.474761734,291678524.1,6.25348072," $5,398,377,166,740.39 ",5.019970148,6.025037396
IDA & IBRD total,IBT,1999,,474501178.8,9.520975204,374300252.2,6.181903965," $5,850,214,145,431.36 ",4.464354677,
IDA total,IDA,1999," $8,608,755,551 ",21509371.08,10.19383919,,5.394981168," $451,744,378,688.12 ",4.142671373,
IDA blend,IDB,1999," $3,349,137,564 ",,8.100496877,,5.149475409," $184,664,063,761.00 ",4.142637181,
Indonesia,IDN,1999,,4728000,,,," $140,001,351,215.46 ",20.47783111,6.358
IDA only,IDX,1999," $5,073,233,525 ",10993029.86,,,5.545394979," $268,179,387,599.11 ",4.578030154,
Isle of Man,IMN,1999,,,,,," $1,573,742,112.93 ",,0.8
India,IND,1999,,2482000,,4115000,," $458,821,052,615.79 ",4.66982038,
Not classified,INX,1999,,,,,,,,
Ireland,IRL,1999," $3,403,000,000 ",6403000,,3576000,," $98,893,958,262.64 ",1.629886052,5.804
"Iran, Islamic Rep.",IRN,1999," $559,000,000 ",1321000,2.512811292,,4.015103839," $113,848,450,088.69 ",20.07070781,
Iraq,IRQ,1999,,30000,,,," $36,881,601,583.82 ",12.57776234,
Iceland,ISL,1999," $380,000,000 ",281000,13.04127505,257000,13.26506715," $8,982,047,589.49 ",3.231832609,2.178
Israel,ISR,1999," $4,800,000,000 ",2566000,12.70883529,3203000,8.355051732," $121,166,507,717.95 ",5.18102372,11.183
Italy,ITA,1999," $29,570,000,000 ",59521000,10.18841201,42390000,7.28281861," $1,255,004,736,463.98 ",1.66345995,11.681
Jamaica,JAM,1999," $1,486,000,000 ",2013000,42.73184759,,6.386269521," $8,887,057,997.36 ",5.954239491,15.74
Jordan,JOR,1999," $1,016,000,000 ",3231000,28.75280406,1561000,10.74151333," $8,149,929,478.14 ",0.606256568,
Japan,JPN,1999," $5,715,000,000 ",4438000,1.242171186,16358000,10.54264889," $4,635,982,224,063.88 ",-0.341296928,4.677
Kazakhstan,KAZ,1999," $394,000,000 ",394000,5.692654453,,6.741539738," $16,870,817,181.78 ",8.296027653,13.46
Kenya,KEN,1999," $1,211,000,000 ",969000,28.24602152,,," $12,896,010,459.37 ",5.742001095,10.004
Kyrgyz Republic,KGZ,1999," $18,000,000 ",165000,3.412306946,,3.826026372," $1,249,061,487.01 ",37.03092584,
Cambodia,KHM,1999," $240,000,000 ",368000,16.85078691,49000,2.176723746," $3,517,242,477.25 ",4.008207021,0.039
Kiribati,KIR,1999," $2,800,000 ",20299.99924,,,," $77,323,948.45 ",,
St. Kitts and Nevis,KNA,1999," $69,000,000 ",226000,47.25428028,,," $406,595,484.37 ",3.363036304,
"Korea, Rep.",KOR,1999," $8,337,000,000 ",4660000,5.075576596,4342000,4.032120503," $497,514,040,642.26 ",0.812957254,6.342
Kuwait,KWT,1999," $342,000,000 ",1884000,2.480990778,1209000,21.66754285," $30,122,365,849.25 ",2.990810359,0.7
Latin America & Caribbean (excluding high income),LAC,1999," $24,370,717,865 ",131143148.5,7.882987356,135650716.2,5.884022761," $1,810,330,944,033.68 ",5.036029043,9.632850007
Lao PDR,LAO,1999," $86,000,000 ",614000,22.35508188,,3.427419355," $1,454,430,642.45 ",125.2721284,
Lebanon,LBN,1999," $673,000,000 ",673000,,,," $17,391,056,369.23 ",,
Liberia,LBR,1999,,,,,," $441,800,000.00 ",,
Libya,LBY,1999," $39,000,000 ",965000,0.531705467,,10.84915364," $35,975,860,857.12 ",2.648622523,
St. Lucia,LCA,1999," $263,000,000 ",666000,71.14874004,,," $921,851,851.85 ",3.503797841,18.09
Latin America & Caribbean,LCN,1999," $35,440,720,364 ",154422845.4,8.277322047,140035995.9,5.969708407," $2,107,777,544,518.75 ",3.454397936,9.725860923
Least developed countries: UN classification,LDC,1999," $3,238,256,831 ",7950686.093,11.02454586,,5.187539726," $197,361,211,397.51 ",5.777368987,
Low income,LIC,1999," $1,349,387,977 ",,,,," $100,712,307,153.98 ",1.666105324,
Liechtenstein,LIE,1999,,60000,,,," $2,664,105,901.19 ",,1.78
Sri Lanka,LKA,1999," $414,000,000 ",465000,7.445371221,497000,5.0301353," $15,656,327,859.57 ",4.69170563,8.88
Lower middle income,LMC,1999,,57315220.18,,,," $1,122,826,614,705.03 ",4.69170563,
Low & middle income,LMY,1999,,346142020.4,9.172475519,294310725,6.09273179," $5,224,983,090,942.07 ",4.680763005,
Lesotho,LSO,1999," $23,100,000 ",308000,10.14671816,,1.539933648," $912,773,681.05 ",,27.27
Late-demographic dividend,LTE,1999,,266217659.7,10.23967195,123988966.3,6.924630099," $3,112,218,567,617.28 ",3.388007542,5.363724261
Lithuania,LTU,1999," $591,000,000 ",4454000,16.17949106,,7.365389613," $11,022,095,813.55 ",0.727550627,13.388
Luxembourg,LUX,1999,,863000,,809000,," $21,899,317,598.84 ",1.025196765,2.39
Latvia,LVA,1999," $153,000,000 ",1738000,5.777945619,2256000,9.6127931," $7,324,192,889.74 ",2.364818361,13.79
"Macao SAR, China",MAC,1999," $2,598,000,000 ",7444000,,,," $6,547,670,439.26 ",-3.204162482,6.348
St. Martin (French part),MAF,1999,,,,,,,,
Morocco,MAR,1999," $2,177,000,000 ",4088000,24.68938535,1545000,5.692971157," $46,266,428,648.14 ",0.684782609,13.94
Monaco,MCO,1999,,278000,,,," $2,907,118,641.18 ",,
Moldova,MDA,1999," $49,000,000 ",14000,8.889856492,,9.444938745," $1,170,782,957.37 ",39.25598069,11.14
Madagascar,MDG,1999," $137,000,000 ",,18.77123895,,13.05975549," $4,277,903,780.29 ",9.929533993,
Maldives,MDV,1999,,430000,,42000,12.5532289," $589,239,753.61 ",2.953708361,
Middle East & North Africa,MEA,1999,,,13.23365847,,8.2503977," $888,446,061,820.49 ",2.648622523,
Mexico,MEX,1999," $8,135,000,000 ",99869000,5.493065381,117383000,3.318714095," $631,249,359,702.39 ",16.58561697,2.598
Marshall Islands,MHL,1999," $2,900,000 ",4599.999905,,,," $113,352,100.00 ",,
Middle income,MIC,1999,,339709726.8,9.168022939,274313571.4,6.094454602," $5,124,148,590,761.99 ",4.861922675,
North Macedonia,MKD,1999," $80,000,000 ",181000,7.360665917,,2.720326622," $3,863,619,284.78 ",-1.279286576,32.4
Mali,MLI,1999," $36,000,000 ",82000,5.28624714,,6.648723414," $3,440,724,709.59 ",-1.201903686,
Malta,MLT,1999," $841,000,000 ",1402000,25.99811737,,6.711791325," $4,111,890,472.76 ",2.134768888,5.3
Myanmar,MMR,1999," $222,000,000 ",435000,12.41494899,,1.062168018," $8,486,832,800.88 ",18.40104337,
Middle East & North Africa (excluding high income),MNA,1999," $17,543,367,793 ",23817985.98,15.98882474,,5.824054831," $449,128,387,154.88 ",2.690124858,
Montenegro,MNE,1999,,,,,," $828,950,327.35 ",,
Mongolia,MNG,1999," $43,000,000 ",160000,8.186798696,,6.898568792," $1,057,408,588.68 ",7.564941503,
Northern Mariana Islands,MNP,1999,,502000,,,,,,
Mozambique,MOZ,1999,,,,,," $6,285,219,691.22 ",,
Mauritania,MRT,1999,,24000,,,," $1,985,922,775.53 ",4.074176136,
Mauritius,MUS,1999," $718,000,000 ",600000,27.35434499,154000,7.404583223," $4,402,193,195.47 ",6.909146249,
Malawi,MWI,1999," $42,000,000 ",254000,8.439232186,,6.844575061," $2,584,478,924.06 ",44.80416429,
Malaysia,MYS,1999," $4,403,000,000 ",7931000,4.588006534,26067000,3.128473547," $79,148,421,052.63 ",2.744561302,3.43
North America,NAC,1999," $139,171,367,153 ",125400000,9.621758445,111304509.8,6.11866251," $10,312,908,629,271.10 ",1.961435074,4.554962503
Namibia,NAM,1999,,694000,,,," $3,868,551,730.39 ",,
New Caledonia,NCL,1999,,100000,,69000,," $3,647,802,049.81 ",,
Niger,NER,1999," $25,100,000 ",39000,7.819035553,,7.365267878," $2,537,789,820.69 ",-2.302125038,
Nigeria,NGA,1999," $99,000,000 ",1425000,0.7144979,,5.305110454," $59,145,077,039.14 ",6.618373395,
Nicaragua,NIC,1999," $128,000,000 ",530000,15.21776865,452000,5.608028335," $4,856,026,259.08 ",,
Netherlands,NLD,1999," $12,451,000,000 ",9874000,5.145955019,14184000,6.027348519," $447,778,514,140.16 ",2.157179181,3.623
Norway,NOR,1999," $2,750,000,000 ",3223000,4.40086068,2271000,10.19473824," $162,383,706,021.13 ",2.365967366,3.247
Nepal,NPL,1999," $229,000,000 ",492000,18.06855483,125000,6.797055567," $5,033,642,384.11 ",7.45111261,1.85
Nauru,NRU,1999,,,,,," $27,328,612.61 ",,
New Zealand,NZL,1999," $2,234,000,000 ",1607000,,1185000,," $58,762,260,625.88 ",-0.11426713,7.023
OECD members,OED,1999," $391,952,446,660 ",883337847.1,7.649828708,642904827.8,7.607260607," $27,081,535,073,158.70 ",2.172603189,7.1756471
Oman,OMN,1999," $350,000,000 ",,4.574984017,,9.69646576," $17,832,769,830.95 ",,
Other small states,OSS,1999,,20547389.64,24.37921884,,9.084767824," $54,539,803,687.08 ",3.296110897,
Pakistan,PAK,1999," $492,000,000 ",432000,5.500279486,,3.865110246," $62,973,857,068.51 ",4.142637181,5.35
Panama,PAN,1999," $506,000,000 ",555000,7.118338867,221000,3.343143329," $11,660,704,800.00 ",1.247182569,11.75
Peru,PER,1999," $911,000,000 ",,12.21775395,513000,7.52280071," $50,187,324,567.88 ",3.469659963,4.367
Philippines,PHL,1999," $2,652,000,000 ",2171000,11.24729632,1755000,5.571593533," $85,640,171,045.13 ",5.939049018,9.809
Palau,PLW,1999,,55000,,,," $144,206,500.00 ",,
Papua New Guinea,PNG,1999,,,,58000,," $3,477,038,204.02 ",14.93218174,
Poland,POL,1999," $6,498,000,000 ",89118000,16.91174557,55097000,7.310895345," $170,704,452,714.67 ",7.154072912,12.29
Pre-demographic dividend,PRE,1999," $3,563,295,293 ",7482302.792,7.089522662,,6.389055418," $244,879,553,665.81 ",3.812372054,
Puerto Rico,PRI,1999," $2,139,000,000 ",4221000,,1134000,," $57,841,000,000.00 ",,11.81
"Korea, Dem. People's Rep.",PRK,1999,,,,,,,,
Portugal,PRT,1999," $6,047,000,000 ",11632000,17.88974205,,5.889182311," $127,470,385,557.18 ",2.340094903,4.579
Paraguay,PRY,1999," $95,000,000 ",6569000,2.489699092,281000,5.806865576," $8,837,070,235.52 ",6.752265861,5.343
West Bank and Gaza,PSE,1999," $377,000,000 ",300000,36.27015463,,8.438521263," $4,271,200,000.00 ",5.544391804,
Pacific island small states,PSS,1999," $540,277,890 ",,31.66986612,,7.07542827," $3,744,260,403.08 ",,
Post-demographic dividend,PST,1999," $374,758,113,121 ",702246548.4,7.340179649,526129612.3,7.591546318," $25,955,128,886,911.10 ",1.611761176,6.961077059
French Polynesia,PYF,1999," $394,000,000 ",236000,,,," $3,911,602,004.14 ",,
Qatar,QAT,1999,,,,,," $12,393,131,868.13 ",2.181703204,
Romania,ROU,1999," $306,000,000 ",5224000,3.158872716,6274000,3.821769801," $35,953,156,753.74 ",45.80378113,6.239
Russian Federation,RUS,1999,,18820000,,12631000,," $195,907,128,350.93 ",85.7464941,13.036
Rwanda,RWA,1999," $21,000,000 ",,,,," $2,157,108,262.84 ",-2.405932097,
South Asia,SAS,1999,,4705756.656,,6739016.039,," $597,995,276,003.90 ",4.69170563,
Saudi Arabia,SAU,1999,,,,,," $161,717,066,666.67 ",-1.333763502,4.346
Sudan,SDN,1999," $2,000,000 ",39000,0.232099339,,2.286236854," $10,682,028,339.69 ",17.16644542,
Senegal,SEN,1999," $183,000,000 ",,12.68361277,,7.543299657," $6,592,834,932.81 ",0.827250608,
Singapore,SGP,1999," $5,089,000,000 ",6958000,3.336879957,3971000,3.059466305," $86,286,849,754.89 ",0.016709834,4.85
Solomon Islands,SLB,1999," $9,700,000 ",,4.39172499,,5.771142948," $488,024,514.37 ",8.020368393,
Sierra Leone,SLE,1999," $6,000,000 ",,20.95594384,13000,23.54729791," $669,386,623.95 ",,
El Salvador,SLV,1999," $408,000,000 ",,18.37837838,787000,5.454158463," $11,284,197,000.00 ",0.51482713,7.3
San Marino,SMR,1999,,3148000,,,," $1,109,473,367.84 ",,3
Somalia,SOM,1999,,,,,," $3,045,751,527.66 ",,
Serbia,SRB,1999,,,,,," $20,878,694,850.58 ",42.45390546,13.7
Sub-Saharan Africa (excluding high income),SSA,1999," $8,961,427,913 ",19153012.33,9.269185471,,7.220629038," $403,398,906,054.62 ",4.249552559,
South Sudan,SSD,1999,,,,,,,,
Sub-Saharan Africa,SSF,1999," $9,174,543,919 ",19286169.65,9.466838169,,7.208187987," $404,065,822,504.73 ",4.356433745,
Small states,SST,1999,,32723887.64,30.2747826,,9.304192471," $74,869,501,279.83 ",2.953708361,
Sao Tome and Principe,STP,1999," $9,200,000 ",5800.000191,56.18208247,,6.507659806," $77,302,211.92 ",12.72517701,
Suriname,SUR,1999," $45,000,000 ",72000,,,," $886,290,697.67 ",98.77309141,13.6
Slovak Republic,SVK,1999," $465,000,000 ",,3.842789725,,2.942005917," $30,496,272,225.13 ",10.57044161,16.099
Slovenia,SVN,1999," $1,011,000,000 ",884000,10.13706597,,5.334635513," $22,609,669,083.72 ",6.155587545,7.33
Sweden,SWE,1999," $4,943,000,000 ",2595000,4.652110048,,9.901114026," $274,320,415,375.68 ",0.462175756,7.607
Eswatini,SWZ,1999," $15,000,000 ",1253000,1.51819658,,2.854736433," $1,547,888,495.98 ",6.088860634,
Sint Maarten (Dutch part),SXM,1999,,1061000,,,,,,
Seychelles,SYC,1999," $202,000,000 ",130000,47.75903472,32000,5.325899952," $662,838,614.88 ",6.347305389,
Syrian Arab Republic,SYR,1999,,2682000,,2994000,," $15,873,875,968.99 ",-3.703703704,7.6
Turks and Caicos Islands,TCA,1999," $238,000,000 ",,,,,,,
Chad,TCD,1999," $15,000,000 ",46000,,,," $1,534,673,583.25 ",-8.025059627,
East Asia & Pacific (IDA & IBRD countries),TEA,1999,,100507097,9.393164519,24718026.03,6.500715818," $1,576,109,259,752.64 ",4.290728517,3.599078211
Europe & Central Asia (IDA & IBRD countries),TEC,1999,,174152912.6,,115387853.3,," $823,772,539,406.30 ",19.19267582,11.5626628
Togo,TGO,1999," $10,000,000 ",70000,2.173603957,,2.740883046," $2,226,577,203.91 ",-0.053213625,
Thailand,THA,1999," $9,416,000,000 ",8651000,13.18578665,1655000,5.093658263," $126,669,211,778.94 ",0.284726459,2.968
Tajikistan,TJK,1999,,4500,,4099.999905,," $1,086,612,290.27 ",,3
Turkmenistan,TKM,1999,,,,,," $2,450,564,100.18 ",,
Latin America & the Caribbean (IDA & IBRD countries),TLA,1999," $25,857,520,346 ",137308046.8,7.667393666,138591069.9,5.912263718," $2,002,860,177,034.08 ",3.486728902,9.795681088
Timor-Leste,TLS,1999,,,,,," $225,357,600.00 ",,
Middle East & North Africa (IDA & IBRD countries),TMN,1999," $16,987,825,615 ",23536182.14,15.66746215,,5.685671178," $444,857,187,154.88 ",2.669373691,
Tonga,TON,1999,,44000,,,," $199,208,705.41 ",4.464354677,
South Asia (IDA & IBRD),TSA,1999,,4559453.46,,6639313.584,," $597,995,276,003.90 ",4.69170563,
Sub-Saharan Africa (IDA & IBRD countries),TSS,1999," $9,174,543,919 ",19286169.65,9.466838169,,7.208187987," $404,065,822,504.73 ",4.356433745,
Trinidad and Tobago,TTO,1999," $365,000,000 ",421000,10.73940036,,3.526398084," $6,808,982,520.76 ",3.439135909,13.12
Tunisia,TUN,1999," $2,118,000,000 ",4832000,24.2441817,1480000,3.002825828," $22,943,202,174.97 ",2.690124858,15.21
Turkiye,TUR,1999,,7487000,,4758000,," $256,395,932,738.44 ",64.86748764,7.687
Tuvalu,TUV,1999,,1100.000024,,2200.000048,," $14,800,503.26 ",,
Tanzania,TZA,1999," $467,000,000 ",627000,38.85835359,,18.23197156," $12,704,334,195.82 ",7.890433361,
Uganda,UGA,1999,,189000,,327000,," $5,998,563,257.95 ",5.777368987,
Ukraine,UKR,1999," $503,000,000 ",10990000,3.130445606,,3.228749912," $31,580,639,553.83 ",22.68367181,11.864
Upper middle income,UMC,1999,,276411397.6,8.228781148,191743121.3,6.264377319," $4,001,279,700,314.12 ",5.181492797,5.299674447
Uruguay,URY,1999,,2273000,,778000,," $23,983,945,190.62 ",5.658688039,10.466
United States,USA,1999," $109,188,000,000 ",75796000,11.18132636,84540000,6.269404236," $9,631,172,000,000.00 ",2.188027197,4.219
